device,useragent
windows,Mozilla/5.0 (Windows; Windows NT 6.0; x64) Gecko/20100101 Firefox/66.8
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; Windows NT 6.1;; en-US Trident/4.0)
windows,"Mozilla/5.0 (Windows; U; Windows NT 6.1; WOW64; en-US) AppleWebKit/603.46 (KHTML, like Gecko) Chrome/47.0.3543.316 Safari/601.8 Edge/8.88377"
linux,Mozilla/5.0 (U; Linux x86_64) Gecko/20130401 Firefox/57.5
firefox,Mozilla/5.0 (Windows NT 10.2; Win64; x64; en-US) Gecko/20100101 Firefox/56.5
windows,"Mozilla/5.0 (Windows; U; Windows NT 10.5; WOW64; en-US) AppleWebKit/600.9 (KHTML, like Gecko) Chrome/53.0.2197.270 Safari/537"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/600.47 (KHTML, like Gecko) Chrome/53.0.1664.282 Safari/535"
firefox,Mozilla/5.0 (Windows NT 6.0;; en-US) Gecko/20100101 Firefox/56.6
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 9_2_0; like Mac OS X) AppleWebKit/536.49 (KHTML, like Gecko) Chrome/52.0.1334.391 Mobile Safari/536.6"
linux,Mozilla/5.0 (U; Linux x86_64) Gecko/20130401 Firefox/63.3
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 7_0_7; en-US) Gecko/20100101 Firefox/56.1
android,"Mozilla/5.0 (Linux; U; Android 5.1; SM-G9350FD Build/MMB29M) AppleWebKit/536.40 (KHTML, like Gecko) Chrome/50.0.3691.193 Mobile Safari/534.0"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) Gecko/20100101 Firefox/72.0
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_0_0; en-US) Gecko/20130401 Firefox/60.2
mobile,"Mozilla/5.0 (Android; Android 5.0.2; HTC [M8|M9|M8 Pro Build/LRX22G) AppleWebKit/533.27 (KHTML, like Gecko) Chrome/48.0.1527.380 Mobile Safari/535.4"
firefox,Mozilla/5.0 (Windows; Windows NT 10.5;) Gecko/20100101 Firefox/48.0
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; U; Windows NT 6.1; WOW64; en-US Trident/7.0)
windows,"Mozilla/5.0 (Windows; U; Windows NT 10.1; x64; en-US) AppleWebKit/601.8 (KHTML, like Gecko) Chrome/52.0.3450.120 Safari/533"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_6; en-US) Gecko/20130401 Firefox/73.1
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; Windows NT 6.3; x64; en-US Trident/7.0)
windows,"Mozilla/5.0 (Windows NT 6.3; WOW64; en-US) AppleWebKit/534.22 (KHTML, like Gecko) Chrome/53.0.3178.182 Safari/534.3 Edge/8.95026"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_5; like Mac OS X) AppleWebKit/533.50 (KHTML, like Gecko) Chrome/51.0.3839.305 Mobile Safari/534.8"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.4; x64) AppleWebKit/602.27 (KHTML, like Gecko) Chrome/55.0.1650.251 Safari/535.1 Edge/8.52547"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; Windows NT 6.3;; en-US Trident/4.0)
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64 Trident/6.0)
linux,Mozilla/5.0 (Linux; Linux x86_64) Gecko/20130401 Firefox/68.2
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_1) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/55.0.3090.278 Safari/601"
edge,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/536.20 (KHTML, like Gecko) Chrome/55.0.2856.254 Safari/601.0 Edge/14.22752"
chrome,"Mozilla/5.0 (Windows NT 6.0; WOW64; en-US) AppleWebKit/537.15 (KHTML, like Gecko) Chrome/49.0.1895.294 Safari/534"
android,"Mozilla/5.0 (Android; Android 5.1.1; Nexus 8 Build/LMY48B) AppleWebKit/602.25 (KHTML, like Gecko) Chrome/49.0.1575.181 Mobile Safari/602.6"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_2) AppleWebKit/534.41 (KHTML, like Gecko) Chrome/55.0.3075.379 Safari/536"
linux,Mozilla/5.0 (Linux; Linux i580 x86_64; en-US) Gecko/20100101 Firefox/73.1
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.0; Win64; x64; en-US Trident/6.0)
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_0; en-US) Gecko/20100101 Firefox/52.7
linux,Mozilla/5.0 (Linux; U; Linux i643 x86_64) Gecko/20100101 Firefox/50.8
linux,Mozilla/5.0 (U; Linux x86_64; en-US) Gecko/20130401 Firefox/71.2
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 7_9_8; en-US) Gecko/20130401 Firefox/56.1
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.0; WOW64 Trident/6.0)
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.3;; en-US Trident/6.0)
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_3_4) AppleWebKit/536.12 (KHTML, like Gecko) Chrome/51.0.3548.203 Safari/534"
android,"Mozilla/5.0 (Linux; U; Android 4.4; SAMSUNG SM-J100F Build/KTU84P) AppleWebKit/600.29 (KHTML, like Gecko) Chrome/54.0.3462.170 Mobile Safari/603.5"
chrome,"Mozilla/5.0 (Windows NT 6.1; x64; en-US) AppleWebKit/533.36 (KHTML, like Gecko) Chrome/47.0.2359.197 Safari/603"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 9_8_5) Gecko/20130401 Firefox/71.5
chrome,"Mozilla/5.0 (U; Linux i580 x86_64; en-US) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/50.0.1995.283 Safari/601"
mobile,"Mozilla/5.0 (Linux; Android 6.0; Nexus 7 Build/MMB29K) AppleWebKit/603.13 (KHTML, like Gecko) Chrome/50.0.2467.380 Mobile Safari/536.5"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_6_9; like Mac OS X) AppleWebKit/601.14 (KHTML, like Gecko) Chrome/48.0.2618.355 Mobile Safari/536.6"
mobile,"Mozilla/5.0 (Linux; U; Android 4.4; Elephone P2000 Build/KTU84P) AppleWebKit/600.22 (KHTML, like Gecko) Chrome/52.0.1330.109 Mobile Safari/600.7"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_8_8; like Mac OS X) AppleWebKit/603.17 (KHTML, like Gecko) Chrome/52.0.3083.293 Mobile Safari/600.7"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_6_9; like Mac OS X) AppleWebKit/533.14 (KHTML, like Gecko) Chrome/55.0.3234.373 Mobile Safari/535.3"
windows,"Mozilla/5.0 (Windows NT 6.1; WOW64; en-US) AppleWebKit/602.15 (KHTML, like Gecko) Chrome/52.0.1958.197 Safari/601.0 Edge/16.84847"
chrome,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/602.26 (KHTML, like Gecko) Chrome/55.0.1236.362 Safari/537"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_6_7; like Mac OS X) AppleWebKit/603.33 (KHTML, like Gecko) Chrome/47.0.1887.303 Mobile Safari/536.1"
windows,"Mozilla/5.0 (Windows; U; Windows NT 10.1; x64; en-US) AppleWebKit/602.3 (KHTML, like Gecko) Chrome/54.0.3757.340 Safari/601"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_1_1; en-US) Gecko/20130401 Firefox/64.5
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.2; x64; en-US Trident/6.0)
windows,"Mozilla/5.0 (Windows; Windows NT 10.0; WOW64; en-US) AppleWebKit/600.28 (KHTML, like Gecko) Chrome/48.0.3736.115 Safari/533.9 Edge/10.72376"
firefox,Mozilla/5.0 (Windows NT 6.0; WOW64; en-US) Gecko/20100101 Firefox/73.2
windows,Mozilla/5.0 (Windows; U; Windows NT 10.1;) Gecko/20130401 Firefox/53.5
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; Windows NT 6.2; Win64; x64 Trident/5.0)
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_9_3; like Mac OS X) AppleWebKit/537.45 (KHTML, like Gecko) Chrome/55.0.1625.182 Mobile Safari/601.9"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_4_9) AppleWebKit/534.4 (KHTML, like Gecko) Chrome/49.0.1543.317 Safari/535"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_0_2; like Mac OS X) AppleWebKit/536.30 (KHTML, like Gecko) Chrome/53.0.3103.108 Mobile Safari/536.7"
linux,"Mozilla/5.0 (U; Linux x86_64) AppleWebKit/602.8 (KHTML, like Gecko) Chrome/55.0.1794.359 Safari/533"
windows,"Mozilla/5.0 (Windows; Windows NT 6.0; WOW64) AppleWebKit/602.26 (KHTML, like Gecko) Chrome/51.0.2526.207 Safari/537"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 9_5_3) AppleWebKit/536.23 (KHTML, like Gecko) Chrome/49.0.1096.323 Safari/537"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.0; WOW64) AppleWebKit/536.7 (KHTML, like Gecko) Chrome/48.0.3573.399 Safari/536.2 Edge/10.57696"
linux,Mozilla/5.0 (Linux x86_64; en-US) Gecko/20100101 Firefox/71.9
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_1_7; en-US) Gecko/20130401 Firefox/61.2
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_3; like Mac OS X) AppleWebKit/600.14 (KHTML, like Gecko) Chrome/47.0.3401.302 Mobile Safari/535.5"
linux,"Mozilla/5.0 (Linux i681 ) AppleWebKit/601.6 (KHTML, like Gecko) Chrome/49.0.2323.116 Safari/535"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 11_7_0; like Mac OS X) AppleWebKit/601.41 (KHTML, like Gecko) Chrome/49.0.2411.228 Mobile Safari/600.4"
windows,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 10.4; Win64; x64; en-US Trident/4.0)
android,"Mozilla/5.0 (Android; Android 6.0.1; Nexus 5P Build/MMB29V) AppleWebKit/600.12 (KHTML, like Gecko) Chrome/50.0.2873.124 Mobile Safari/537.0"
firefox,Mozilla/5.0 (Linux; Linux i584 x86_64) Gecko/20100101 Firefox/72.6
linux,Mozilla/5.0 (U; Linux x86_64; en-US) Gecko/20100101 Firefox/55.5
linux,"Mozilla/5.0 (Linux; Linux i682 ) AppleWebKit/603.7 (KHTML, like Gecko) Chrome/55.0.2459.130 Safari/535"
chrome,"Mozilla/5.0 (U; Linux i642 x86_64; en-US) AppleWebKit/603.29 (KHTML, like Gecko) Chrome/52.0.2773.230 Safari/533"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_4_0; like Mac OS X) AppleWebKit/534.33 (KHTML, like Gecko) Chrome/47.0.1586.362 Mobile Safari/535.8"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_8_9; like Mac OS X) AppleWebKit/537.29 (KHTML, like Gecko) Chrome/55.0.3177.331 Mobile Safari/600.1"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.4; Win64; x64) AppleWebKit/535.30 (KHTML, like Gecko) Chrome/49.0.3998.186 Safari/603.0 Edge/17.20114"
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; WOW64; en-US Trident/5.0)
windows,Mozilla/5.0 (Windows; U; Windows NT 10.2; Win64; x64) Gecko/20100101 Firefox/73.4
windows,Mozilla/5.0 (compatible; MSIE 7.0; Windows; U; Windows NT 6.3;; en-US Trident/4.0)
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_9_3; en-US) AppleWebKit/602.2 (KHTML, like Gecko) Chrome/53.0.3092.349 Safari/534"
linux,"Mozilla/5.0 (Linux; U; Linux i541 x86_64) AppleWebKit/534.22 (KHTML, like Gecko) Chrome/51.0.1489.376 Safari/536"
chrome,"Mozilla/5.0 (Linux; U; Linux i640 x86_64) AppleWebKit/537.50 (KHTML, like Gecko) Chrome/49.0.2063.307 Safari/602"
windows,"Mozilla/5.0 (Windows; U; Windows NT 10.4;; en-US) AppleWebKit/600.41 (KHTML, like Gecko) Chrome/48.0.1606.346 Safari/603"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_6_4; like Mac OS X) AppleWebKit/600.26 (KHTML, like Gecko) Chrome/54.0.3780.272 Mobile Safari/537.3"
linux,"Mozilla/5.0 (Linux i566 x86_64) AppleWebKit/600.29 (KHTML, like Gecko) Chrome/48.0.2036.292 Safari/600"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.0; WOW64; en-US) AppleWebKit/533.43 (KHTML, like Gecko) Chrome/49.0.2010.220 Safari/601.4 Edge/17.81669"
firefox,Mozilla/5.0 (Windows; Windows NT 10.4;; en-US) Gecko/20130401 Firefox/47.6
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.2; x64) AppleWebKit/533.31 (KHTML, like Gecko) Chrome/54.0.3785.115 Safari/536.7 Edge/8.79397"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 8_2_0) AppleWebKit/533.3 (KHTML, like Gecko) Chrome/50.0.2077.149 Safari/537"
mobile,"Mozilla/5.0 (Android; Android 4.3.1; Nokia 3115 Build/IMM76D) AppleWebKit/533.35 (KHTML, like Gecko) Chrome/49.0.3530.157 Mobile Safari/603.3"
android,"Mozilla/5.0 (Linux; U; Android 5.1; Nexus 9 Build/LMY48B) AppleWebKit/601.45 (KHTML, like Gecko) Chrome/48.0.2859.336 Mobile Safari/601.5"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_3_9; en-US) Gecko/20100101 Firefox/46.5
windows,"Mozilla/5.0 (Windows; U; Windows NT 6.1; WOW64; en-US) AppleWebKit/536.10 (KHTML, like Gecko) Chrome/50.0.3398.240 Safari/533"
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; U; Windows NT 6.0;; en-US Trident/5.0)
android,"Mozilla/5.0 (Linux; U; Android 5.0; SM-T710 Build/LRX22G) AppleWebKit/600.25 (KHTML, like Gecko) Chrome/49.0.3747.160 Mobile Safari/533.0"
linux,"Mozilla/5.0 (Linux x86_64; en-US) AppleWebKit/602.21 (KHTML, like Gecko) Chrome/51.0.3341.195 Safari/534"
android,"Mozilla/5.0 (Android; Android 5.1.1; MOTO XT1575 Build/LPC23) AppleWebKit/534.10 (KHTML, like Gecko) Chrome/53.0.2670.141 Mobile Safari/537.1"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.3;; en-US Trident/4.0)
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; U; Windows NT 6.2; Win64; x64; en-US Trident/4.0)
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; Windows NT 6.2; WOW64; en-US Trident/7.0)
chrome,"Mozilla/5.0 (Windows; Windows NT 6.3; x64; en-US) AppleWebKit/536.48 (KHTML, like Gecko) Chrome/50.0.3977.336 Safari/602"
firefox,Mozilla/5.0 (Windows; U; Windows NT 6.1; Win64; x64; en-US) Gecko/20100101 Firefox/70.6
android,"Mozilla/5.0 (Linux; U; Android 6.0.1; Nexus 6 Build/MDB08L) AppleWebKit/600.24 (KHTML, like Gecko) Chrome/48.0.2229.369 Mobile Safari/536.0"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_4_6; en-US) Gecko/20100101 Firefox/67.8
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_3_3; en-US) AppleWebKit/533.18 (KHTML, like Gecko) Chrome/48.0.3699.156 Safari/534"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 7_7_3; en-US) AppleWebKit/600.25 (KHTML, like Gecko) Chrome/51.0.3875.320 Safari/534"
linux,"Mozilla/5.0 (Linux; U; Linux i560 x86_64) AppleWebKit/534.49 (KHTML, like Gecko) Chrome/51.0.2476.336 Safari/534"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_5_1; like Mac OS X) AppleWebKit/601.35 (KHTML, like Gecko) Chrome/47.0.3486.228 Mobile Safari/603.2"
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)
android,"Mozilla/5.0 (Linux; U; Android 7.1.1; Pixel C Build/NRD90M) AppleWebKit/534.13 (KHTML, like Gecko) Chrome/48.0.3438.198 Mobile Safari/602.5"
android,"Mozilla/5.0 (Linux; Android 4.4.4; XT1070 Build/SU6-7.3) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/54.0.2378.256 Mobile Safari/603.7"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_9; like Mac OS X) AppleWebKit/533.35 (KHTML, like Gecko) Chrome/55.0.1712.188 Mobile Safari/533.1"
edge,"Mozilla/5.0 (Windows; Windows NT 10.1;) AppleWebKit/535.6 (KHTML, like Gecko) Chrome/47.0.3388.233 Safari/534.8 Edge/17.21966"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_3_8; en-US) Gecko/20130401 Firefox/62.8
linux,Mozilla/5.0 (Linux i664 ) Gecko/20100101 Firefox/46.0
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_1_9; like Mac OS X) AppleWebKit/533.9 (KHTML, like Gecko) Chrome/53.0.1362.185 Mobile Safari/600.0"
windows,Mozilla/5.0 (Windows NT 6.2; x64) Gecko/20100101 Firefox/68.3
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 7_6_7; en-US) AppleWebKit/536.43 (KHTML, like Gecko) Chrome/52.0.1222.239 Safari/534"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 8_1_5; like Mac OS X) AppleWebKit/601.17 (KHTML, like Gecko) Chrome/50.0.3783.395 Mobile Safari/536.5"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_8; en-US) Gecko/20100101 Firefox/64.3
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_0_7) Gecko/20130401 Firefox/60.1
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_0_1) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/50.0.3435.157 Safari/537"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.5; WOW64) AppleWebKit/603.8 (KHTML, like Gecko) Chrome/51.0.1484.248 Safari/535.3 Edge/10.14112"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; Windows NT 6.1;; en-US Trident/4.0)
firefox,Mozilla/5.0 (Linux x86_64; en-US) Gecko/20100101 Firefox/48.5
chrome,"Mozilla/5.0 (Windows; Windows NT 6.1;; en-US) AppleWebKit/534.20 (KHTML, like Gecko) Chrome/52.0.2412.345 Safari/600"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; Windows NT 6.3; Win64; x64; en-US Trident/4.0)
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_7_9; like Mac OS X) AppleWebKit/536.37 (KHTML, like Gecko) Chrome/51.0.1280.201 Mobile Safari/603.9"
chrome,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/602.49 (KHTML, like Gecko) Chrome/51.0.1312.366 Safari/533"
firefox,Mozilla/5.0 (Windows NT 10.3;; en-US) Gecko/20130401 Firefox/72.3
edge,"Mozilla/5.0 (Windows; Windows NT 10.5; WOW64) AppleWebKit/533.40 (KHTML, like Gecko) Chrome/50.0.3807.171 Safari/534.0 Edge/10.54775"
firefox,Mozilla/5.0 (U; Linux i566 x86_64; en-US) Gecko/20100101 Firefox/61.2
linux,Mozilla/5.0 (U; Linux x86_64) Gecko/20100101 Firefox/60.4
windows,"Mozilla/5.0 (Windows NT 6.3;) AppleWebKit/535.20 (KHTML, like Gecko) Chrome/54.0.2218.169 Safari/537.3 Edge/8.65269"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_2_5) AppleWebKit/534.43 (KHTML, like Gecko) Chrome/53.0.3102.318 Safari/603"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_3; like Mac OS X) AppleWebKit/601.26 (KHTML, like Gecko) Chrome/49.0.2360.223 Mobile Safari/537.7"
firefox,Mozilla/5.0 (Linux; U; Linux x86_64; en-US) Gecko/20130401 Firefox/58.6
android,"Mozilla/5.0 (Linux; U; Android 6.0; Nexus 7P Build/MDB08I) AppleWebKit/602.28 (KHTML, like Gecko) Chrome/53.0.1544.255 Mobile Safari/535.3"
android,"Mozilla/5.0 (Linux; U; Android 7.1.1; Nexus 5P Build/NPD90G) AppleWebKit/602.35 (KHTML, like Gecko) Chrome/53.0.3864.242 Mobile Safari/535.4"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1; en-US) AppleWebKit/535.50 (KHTML, like Gecko) Chrome/54.0.3220.137 Safari/600"
edge,"Mozilla/5.0 (Windows; Windows NT 10.4; WOW64) AppleWebKit/537.32 (KHTML, like Gecko) Chrome/49.0.3235.289 Safari/533.5 Edge/11.44719"
mobile,"Mozilla/5.0 (Linux; U; Android 4.4.4; LG Optimus G Build/KRT16M) AppleWebKit/533.7 (KHTML, like Gecko) Chrome/48.0.1207.319 Mobile Safari/533.9"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.4; Win64; x64) AppleWebKit/600.24 (KHTML, like Gecko) Chrome/51.0.1644.328 Safari/603.1 Edge/9.19709"
mobile,"Mozilla/5.0 (Linux; U; Android 4.3.1; GT-I9400 Build/JDQ39) AppleWebKit/536.14 (KHTML, like Gecko) Chrome/47.0.1301.173 Mobile Safari/601.4"
windows,"Mozilla/5.0 (Windows; Windows NT 6.2; Win64; x64) AppleWebKit/601.19 (KHTML, like Gecko) Chrome/50.0.1020.153 Safari/601"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_6_9; like Mac OS X) AppleWebKit/534.32 (KHTML, like Gecko) Chrome/53.0.2244.292 Mobile Safari/533.3"
linux,Mozilla/5.0 (Linux; Linux x86_64) Gecko/20130401 Firefox/54.8
windows,Mozilla/5.0 (Windows; U; Windows NT 6.1;) Gecko/20100101 Firefox/49.6
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.3; Trident/6.0)
mobile,"Mozilla/5.0 (Linux; Android 7.1.1; Pixel C Build/NRD90M) AppleWebKit/535.34 (KHTML, like Gecko) Chrome/50.0.3511.207 Mobile Safari/600.4"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.3; Win64; x64; en-US Trident/4.0)
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_0) Gecko/20100101 Firefox/65.8
chrome,"Mozilla/5.0 (U; Linux x86_64; en-US) AppleWebKit/601.46 (KHTML, like Gecko) Chrome/51.0.1745.393 Safari/600"
firefox,Mozilla/5.0 (Windows; Windows NT 10.5; Win64; x64; en-US) Gecko/20100101 Firefox/49.4
windows,"Mozilla/5.0 (Windows NT 6.1; x64; en-US) AppleWebKit/603.40 (KHTML, like Gecko) Chrome/48.0.1069.314 Safari/601"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_5; en-US) Gecko/20100101 Firefox/45.7
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_3; like Mac OS X) AppleWebKit/602.16 (KHTML, like Gecko) Chrome/47.0.3214.360 Mobile Safari/536.7"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3; like Mac OS X) AppleWebKit/600.42 (KHTML, like Gecko) Chrome/53.0.1072.320 Mobile Safari/600.1"
linux,Mozilla/5.0 (U; Linux i656 x86_64; en-US) Gecko/20100101 Firefox/53.8
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.1; x64; en-US) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/48.0.2942.269 Safari/533.0 Edge/15.98584"
windows,"Mozilla/5.0 (Windows NT 10.4; WOW64; en-US) AppleWebKit/602.6 (KHTML, like Gecko) Chrome/48.0.3758.255 Safari/535.7 Edge/8.27587"
windows,Mozilla/5.0 (compatible; MSIE 10.0; Windows; U; Windows NT 6.2; WOW64 Trident/6.0)
linux,Mozilla/5.0 (Linux i681 x86_64; en-US) Gecko/20130401 Firefox/56.6
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_5_8; like Mac OS X) AppleWebKit/603.47 (KHTML, like Gecko) Chrome/55.0.1393.296 Mobile Safari/601.9"
windows,Mozilla/5.0 (compatible; MSIE 7.0; Windows; U; Windows NT 6.3; Win64; x64 Trident/4.0)
mobile,"Mozilla/5.0 (Linux; Android 4.4; SGH-I337M Build/JSS15J) AppleWebKit/601.12 (KHTML, like Gecko) Chrome/55.0.2909.293 Mobile Safari/534.9"
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_0) Gecko/20130401 Firefox/53.0
android,"Mozilla/5.0 (Android; Android 5.0; Nokia 1100 LTE Build/GRK39F) AppleWebKit/600.41 (KHTML, like Gecko) Chrome/52.0.1352.163 Mobile Safari/533.1"
chrome,"Mozilla/5.0 (Windows NT 10.3;) AppleWebKit/602.33 (KHTML, like Gecko) Chrome/52.0.1851.212 Safari/533"
android,"Mozilla/5.0 (Linux; U; Android 5.0.1; LG-D337 Build/LRX22G) AppleWebKit/535.24 (KHTML, like Gecko) Chrome/52.0.1807.263 Mobile Safari/601.8"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 10_1_1 like Mac OS X) AppleWebKit/600.10 (KHTML, like Gecko) Chrome/54.0.3493.242 Mobile Safari/601.2"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 7_4_7) Gecko/20100101 Firefox/67.9
chrome,"Mozilla/5.0 (U; Linux x86_64) AppleWebKit/602.39 (KHTML, like Gecko) Chrome/53.0.1879.250 Safari/537"
windows,Mozilla/5.0 (Windows; Windows NT 6.0;; en-US) Gecko/20130401 Firefox/49.3
windows,"Mozilla/5.0 (Windows NT 10.2; x64; en-US) AppleWebKit/535.25 (KHTML, like Gecko) Chrome/50.0.1140.336 Safari/603"
linux,Mozilla/5.0 (U; Linux i682 x86_64; en-US) Gecko/20100101 Firefox/70.8
chrome,"Mozilla/5.0 (U; Linux x86_64; en-US) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/53.0.1154.163 Safari/600"
windows,"Mozilla/5.0 (Windows; Windows NT 10.0; WOW64; en-US) AppleWebKit/534.27 (KHTML, like Gecko) Chrome/47.0.2854.223 Safari/601.5 Edge/14.69348"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_5; like Mac OS X) AppleWebKit/603.39 (KHTML, like Gecko) Chrome/47.0.2661.312 Mobile Safari/601.4"
firefox,Mozilla/5.0 (Linux; U; Linux i546 ) Gecko/20130401 Firefox/71.1
firefox,Mozilla/5.0 (Windows; U; Windows NT 6.2; WOW64) Gecko/20100101 Firefox/56.0
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_2) AppleWebKit/533.15 (KHTML, like Gecko) Chrome/52.0.3034.135 Safari/535"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_1_2; en-US) AppleWebKit/533.3 (KHTML, like Gecko) Chrome/53.0.1403.266 Safari/534"
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; U; Windows NT 6.2; Win64; x64; en-US Trident/5.0)
linux,Mozilla/5.0 (Linux x86_64; en-US) Gecko/20100101 Firefox/66.7
